Method,Description,Features,Train_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
FILTERED,Filter Method (Correlation-based),14,0.9065040650406504,0.8548387096774194,0.8125,0.896551724137931,0.8524590163934426,0.9446185997910136
EMBEDDED,Embedded Method (RandomForest Importance),25,0.9471544715447154,0.8870967741935484,0.8666666666666667,0.896551724137931,0.8813559322033899,0.9582027168234064
PCA,Principal Component Analysis (95% Variance),20,0.9878048780487804,0.9193548387096774,0.9,0.9310344827586208,0.9152542372881356,0.9268547544409612
